up,timedelta,down
32,788,85
49,173,32
54,108,49
57,334,54
49,205,57
32,576,49
90,216,32
75,513,90
84,141,75
72,41,84
71,87,72
70,117,71
32,132,70
50,119,32
50,82,50
32,240,50
90,75,32
67,94,90
75,393,67
66,263,75
76,95,66
74,267,76
72,101,74
32,50,72
88,145,32
66,130,88
68,113,66
74,798,68
72,149,74
66,119,72
70,148,66
16,235,70
188,-189,188
32,92,16
76,284,32
72,328,76
70,291,72
69,241,70
76,203,69
16,214,76
222,-126,222
32,2598,16
78,228,32
66,135,78
186,98,66
66,118,186
16,229,66
86,-44,86
