timedelta,down,up
2288,70,32
2280,75,68
2104,188,74
2120,74,78
2064,32,67
2224,68,66
2208,8,75
1952,32,70
1000,32,66
1016,68,87
1544,74,84
1832,78,71
1912,67,67
3000,66,32
3000,75,219
3248,70,83
3288,66,89
3296,87,89
2792,84,84
2520,71,86
2648,67,72
1440,32,84
1472,219,68
1280,83,74
1248,89,67
19040,89,32
19064,84,219
19176,86,66
18991,72,79
19183,84,69
19120,68,76
19135,74,84
19217,67,68
1425,32,32
1416,219,80
1313,66,66
1760,79,32
1544,69,89
1584,76,66
1536,84,76
1488,68,74
2008,32,32
2001,80,16
1904,66,191
1584,32,85
1648,89,74
1672,66,75
1720,76,74
1785,74,219
1320,32,66
1336,191,67
1664,16,71
2528,85,32
2545,74,81
2551,75,66
2536,74,82
2480,219,67
2391,66,89
2265,67,70
1944,71,82
961,32,66
1007,81,72
944,66,84
1008,82,86
1025,67,70
1120,89,32
1096,70,189
1080,82,32
2528,66,66
2560,72,78
2600,84,78
2568,86,84
2560,70,71
2345,32,16
2623,189,32
3201,32,191
2144,66,66
2008,78,16
2319,78,32
2329,84,76
4344,71,72
4256,16,70
4215,32,88
3735,191,66
3512,66,72
3423,16,16
