down,timedelta,up
78,-26999,76
66,-26702,74
74,-26984,71
72,-26847,32
78,-27238,70
67,-26992,76
32,-27127,74
81,-27102,85
66,-27054,32
82,-26942,57
67,-26831,54
68,-24846,57
32,-26206,49
74,-28984,32
82,-28935,16
67,-29183,67
74,-28392,13
86,-29023,191
16,-28936,70
32,-29074,76
75,-28921,90
66,-28705,72
88,-28623,78
89,-28760,74
74,-28518,32
82,-28591,74
74,-28584,85
32,-28591,74
69,-28528,89
76,-28561,77
74,-28610,75
85,-28631,84
32,-28840,78
52,-28743,66
53,-28681,74
57,-29505,72
49,-30431,78
68,-31040,67
16,-31022,189
32,-30809,74
191,-30807,89
66,-31224,89
66,-31208,84
86,-31299,74
72,-31392,68
70,-29399,32
32,-29567,86
68,-29287,74
32,-29847,72
69,-29839,66
188,-29912,76
186,-29918,89
69,-29907,70
75,-29991,86
67,-29983,74
32,-30216,82
75,-29667,32
66,-29879,75
186,-29936,83
75,-30013,188
74,-30331,16
76,-30192,32
74,-30229,191
72,-29344,86
71,-28953,69
32,-29271,82
83,-29440,66
89,-29607,89
81,-29633,219
74,-29592,84
68,-29567,78
32,-29744,32
84,-29761,81
75,-29640,83
67,-29609,89
74,-29601,77
71,-29664,75
16,-29656,84
13,-29746,78
191,-29920,66
50,-31065,74
16,-31153,72
70,-30959,78
76,-31071,67
80,-31041,32
84,-31185,81
68,-31274,66
80,-31312,82
16,-31311,67
32,-31791,68
90,-30225,32
70,-27471,74
78,-27527,82
74,-27480,67
75,-27232,74
74,-26185,16
8,-26519,86
70,-26415,32
80,-26416,75
16,-26406,66
50,-26615,88
16,-26273,89
16,-26010,74
16,-25891,82
16,-26168,74
32,-26983,32
66,-27103,69
75,-27038,76
70,-26999,74
76,-27007,85
84,-26950,32
8,-26936,52
70,-27521,53
86,-26697,57
8,-25832,49
86,-25560,68
16,-25753,16
32,-25497,32
66,-25432,191
32,-25488,66
70,-25495,66
89,-26521,86
66,-26584,72
89,-26440,70
84,-26330,32
75,-26417,68
16,-26090,32
32,-26081,69
70,-25616,188
89,-25537,186
84,-25417,69
76,-25321,75
72,-25565,67
74,-26074,32
32,-26545,75
86,-26224,66
84,-26289,186
66,-26232,75
89,-26008,74
84,-25928,76
88,-25855,74
69,-26000,72
72,-26399,71
68,-26056,32
32,-25776,83
67,-25607,89
32,-25576,81
70,-26937,74
80,-27000,68
190,-27055,32
74,-28527,84
67,-28453,75
16,-28463,67
32,-28424,74
74,-28464,16
85,-28584,71
74,-28256,13
82,-27929,191
67,-26624,16
78,-26881,50
84,-26369,70
68,-26393,76
74,-26216,80
67,-26073,84
16,-26009,68
32,-25976,80
90,-26138,16
74,-25624,32
72,-25600,90
84,-25521,70
85,-25506,78
16,-25457,74
32,-28106,75
84,-28048,74
66,-28105,8
89,-27745,70
70,-27754,80
68,-27960,16
80,-27783,16
32,-28914,50
74,-27450,32
89,-27392,66
84,-27360,75
74,-27481,70
68,-27488,76
67,-27585,84
66,-28146,8
8,-27561,70
74,-27728,86
72,-27751,8
71,-27337,16
32,-28167,86
69,-28039,32
88,-28318,66
66,-28104,32
68,-28127,70
74,-27136,89
72,-26936,66
66,-27072,89
86,-27009,84
66,-26966,75
76,-27152,16
70,-26847,32
75,-26775,70
68,-26599,89
16,-26527,84
32,-27104,76
69,-26776,72
75,-26286,74
68,-25807,32
70,-26623,86
71,-26585,84
16,-26569,66
8,-26682,89
70,-26928,84
16,-27072,88
32,-27064,69
69,-26752,72
89,-26985,68
66,-27022,32
85,-27000,67
69,-27001,32
75,-25665,70
90,-25754,80
16,-25712,190
32,-24442,74
69,-24537,67
89,-25248,16
70,-25039,32
78,-25072,74
66,-25097,85
71,-25097,74
70,-25143,82
82,-25064,67
32,-26121,78
66,-26150,84
66,-26069,68
76,-26040,74
72,-26207,16
70,-26568,67
68,-26335,32
85,-26616,90
32,-27231,74
66,-27295,72
86,-27201,84
70,-27254,85
82,-27449,16
66,-24799,32
88,-24799,84
78,-25094,66
70,-25231,89
68,-25279,70
219,-25464,68
70,-25231,80
80,-24295,32
32,-24998,74
66,-25022,89
86,-25039,84
66,-24998,74
82,-25311,68
67,-25296,67
78,-24863,66
67,-24873,8
66,-24737,74
73,-24826,72
70,-25031,71
65,-24449,32
189,-24746,69
74,-24648,88
82,-24481,66
87,-24521,68
84,-24832,74
86,-24889,72
84,-24848,66
89,-24906,86
32,-24912,66
67,-24809,76
32,-25721,70
219,-25809,75
90,-26247,68
74,-26473,16
188,-26018,32
32,-26097,69
68,-25968,75
32,-26753,68
86,-25943,70
80,-26184,16
66,-26518,71
74,-26416,8
72,-26257,16
84,-26272,70
85,-25863,32
32,-25895,69
66,-25664,89
32,-25610,66
74,-25591,85
68,-25511,69
78,-25552,75
67,-25383,16
84,-25655,90
186,-25078,32
69,-25039,69
86,-24582,89
32,-24711,70
84,-24616,78
83,-24711,66
89,-25486,71
89,-25431,70
84,-25439,82
75,-24294,32
68,-24254,66
90,-24390,66
74,-24590,76
72,-24495,72
71,-24222,70
32,-24239,68
66,-23870,85
32,-23999,32
90,-23929,66
66,-24089,86
89,-23904,70
70,-23872,82
68,-23721,66
74,-23752,88
76,-23327,78
89,-23392,70
70,-23514,68
86,-23337,219
74,-23559,70
82,-23498,80
32,-22969,32
81,-22824,66
66,-23032,86
